CityPart,MaxFloor,Area,Rooms,Bedrooms,LastFloor,Floor,PRICE (GEL),Status,Electrical Points,Condition,Heating,Natural Gas,Bed,Stove (Gas/Electric),Table,Refrigerator,Chairs,Oven,Air Conditioner,Washing Machine,Sofa,Dishwasher
Bagebshi,10.0,137.0,3.0,2.0,0.0,8.0,815130.0,Newly Constructed,1.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Vakeshi,35.0,115.0,3.0,2.0,0.0,9.0,1562333.0,Newly Constructed,2.0,Newly Renovated,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Saburtaloze,17.0,228.0,5.0,4.0,0.0,13.0,760788.0,Newly Constructed,3.0,White Frame,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Saburtaloze,24.0,205.0,4.0,3.0,0.0,17.0,1467234.0,Newly Constructed,3.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Didubeshi,10.0,109.0,4.0,3.0,0.0,7.0,393980.0,Newly Constructed,2.0,Green Frame,,1.0,0,0,0,0,0,0,0,0,0,0
Moskovis Gamzirze,8.0,62.0,3.0,2.0,0.0,4.0,244539.0,Newly Constructed,1.0,Newly Renovated,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Veraze,10.0,62.0,2.0,1.0,0.0,4.0,461907.0,Newly Constructed,1.0,Newly Renovated,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Saburtaloze,8.0,140.0,4.0,3.0,0.0,5.0,611348.0,Newly Constructed,2.0,Newly Renovated,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Vashlijvarshi,14.0,55.63,2.0,1.0,0.0,2.0,167326.0,Newly Constructed,1.0,Green Frame,,1.0,0,0,0,0,0,0,0,0,0,0
Vakeshi,6.0,192.0,4.0,2.0,0.0,5.0,2037825.0,Newly Constructed,2.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Didubeshi,10.0,138.0,5.0,3.0,0.0,3.0,516249.0,Newly Constructed,2.0,Newly Renovated,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Dighmis Masivshi,16.0,75.0,3.0,2.0,0.0,13.0,211934.0,Old Constructed,,Old Renovated,Gas Heater,1.0,0,0,0,0,0,0,0,0,0,0
Tkhinvalshi,5.0,107.0,4.0,3.0,1.0,5.0,470058.0,Newly Constructed,2.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Lisze,5.0,106.0,4.0,3.0,0.0,4.0,578742.0,Newly Constructed,2.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Vakeshi,10.0,211.0,3.0,2.0,0.0,8.0,1263452.0,Newly Constructed,3.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Isanshi,23.0,42.0,2.0,1.0,1.0,23.0,149454.0,Newly Constructed,1.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Bagebshi,12.0,143.0,3.0,2.0,0.0,10.0,475493.0,Newly Constructed,2.0,Newly Renovated,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Did Dighomshi,5.0,100.0,3.0,2.0,1.0,5.0,190197.0,Newly Constructed,2.0,Black Frame,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Nadzaladevshi,12.0,133.0,2.0,1.0,1.0,12.0,307168.0,Newly Constructed,1.0,White Frame,,0.0,0,0,0,0,0,0,0,0,0,0
Isanshi,6.0,150.0,3.0,2.0,0.0,2.0,652104.0,Newly Constructed,,Newly Renovated,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Avlabarshi,6.0,59.0,2.0,1.0,1.0,6.0,312467.0,Newly Constructed,,Green Frame,,0.0,0,0,0,0,0,0,0,0,0,0
Avlabarshi,6.0,83.0,3.0,2.0,0.0,1.0,360831.0,Newly Constructed,,Newly Renovated,,1.0,0,0,0,0,0,0,0,0,0,0
Vakeshi,15.0,122.0,3.0,2.0,0.0,9.0,1032498.0,Newly Constructed,2.0,Newly Renovated,Central Heating,0.0,0,0,0,0,0,0,0,0,0,0
Saburtaloze,12.0,100.0,3.0,2.0,0.0,6.0,543420.0,Newly Constructed,2.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Isanshi,16.0,48.0,2.0,1.0,0.0,10.0,146723.0,Newly Constructed,1.0,Newly Renovated,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Veraze,3.0,105.0,4.0,3.0,0.0,1.0,611348.0,Old Constructed,1.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Chughuretshi,7.0,309.0,5.0,4.0,1.0,7.0,2173680.0,Newly Constructed,3.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Vakeshi,14.0,103.0,3.0,2.0,0.0,5.0,728183.0,Newly Constructed,1.0,Green Frame,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Saburtaloze,30.0,82.0,2.0,1.0,0.0,6.0,883058.0,Newly Constructed,1.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Chughuretshi,4.0,135.0,5.0,3.0,0.0,3.0,434736.0,Old Constructed,2.0,Old Renovated,Gas Heater,1.0,0,0,0,0,0,0,0,0,0,0
Ortachalashi,9.0,91.0,3.0,2.0,0.0,6.0,366809.0,Newly Constructed,,Newly Renovated,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Saburtaloze,12.0,365.0,7.0,5.0,1.0,12.0,1263452.0,Newly Constructed,3.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Saburtaloze,6.0,200.0,6.0,4.0,0.0,2.0,937400.0,Newly Constructed,2.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Chughuretshi,2.0,97.0,5.0,2.0,0.0,1.0,393980.0,Old Constructed,1.0,Old Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Isanshi,22.0,54.0,2.0,1.0,0.0,3.0,374960.0,Newly Constructed,,Newly Renovated,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Did Dighomshi,13.0,88.0,3.0,2.0,0.0,7.0,249973.0,Newly Constructed,1.0,Newly Renovated,,1.0,0,0,0,0,0,0,0,0,0,0
Saburtaloze,32.0,95.0,2.0,1.0,0.0,11.0,1032498.0,Newly Constructed,2.0,Newly Renovated,Central Heating,0.0,0,0,0,0,0,0,0,0,0,0
Isanshi,16.0,68.0,3.0,2.0,0.0,2.0,201065.0,Newly Constructed,1.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Nutsubidzis Ferdobze,10.0,199.0,5.0,4.0,0.0,4.0,701012.0,Newly Constructed,2.0,White Frame,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Saburtaloze,5.0,107.0,4.0,2.0,1.0,5.0,326052.0,Old Constructed,1.0,Old Renovated,Gas Heater,1.0,0,0,0,0,0,0,0,0,0,0
